Article Number, Topic Feature, Tf-Idf, Sentence Position Feature, Class
9, 0.11764705882352941, 0.07548535317266483, 0.6, 0
9, 0.23529411764705882, 0.06589162056975904, 0.2, 1
9, 0.14285714285714285, 0.08813589490841643, 0.6, 1
9, 0.17391304347826086, 0.05217522406540047, 1.0, 0
10, 0.1, 0.19884608165761608, 1.0, 1
10, 0.0, 0.39964921213306176, 0.8181818181818182, 1
10, 0.2857142857142857, 0.250723617127721, 0.6363636363636364, 0
10, 0.16666666666666666, 0.33568851510544934, 0.45454545454545453, 0
10, 0.1111111111111111, 0.222191833539867, 0.2727272727272727, 1
10, 0.0, 0.5231976854007901, 0.09090909090909091, 0
10, 0.0, 0.25286969341379295, 0.2727272727272727, 0
10, 0.1111111111111111, 0.20732797175806528, 0.45454545454545453, 0
10, 0.08333333333333333, 0.16657813563054444, 0.6363636363636364, 1
10, 0.0, 0.7992984242661235, 0.8181818181818182, 0
10, 0.0, 0.21899511186303874, 1.0, 0
11, 0.5, 0.10517630438402278, 1.0, 1
11, 0.0, 0.32013580859021395, 0.8181818181818182, 0
11, 0.35714285714285715, 0.12313028610503571, 0.6363636363636364, 0
11, 0.14285714285714285, 0.24485255442462342, 0.45454545454545453, 0
11, 0.17647058823529413, 0.10142670890809634, 0.2727272727272727, 1
11, 0.0, 0.09630216146784903, 0.09090909090909091, 1
11, 0.08695652173913043, 0.09427878377151608, 0.2727272727272727, 0
11, 0.06896551724137931, 0.06837012542582421, 0.45454545454545453, 1
11, 0.125, 0.11254509213487252, 0.6363636363636364, 0
11, 0.42857142857142855, 0.143006991429139, 0.8181818181818182, 0
11, 0.1, 0.20983220454429716, 1.0, 0
12, 0.25, 0.10855635056068508, 1.0, 1
12, 0.0, 0.2970630773828336, 0.75, 0
12, 0.2, 0.32378490461620535, 0.5, 1
12, 0.08333333333333333, 0.14640345478645933, 0.25, 1
12, 0.0, 1.0397207708399179, 0.25, 0
12, 1.0, 0.47000362924573563, 0.5, 0
12, 0.125, 0.23478272532819666, 0.75, 0
12, 0.3333333333333333, 0.2135877085360269, 1.0, 0
13, 0.13043478260869565, 0.09362615115116184, 1.0, 1
13, 0.2727272727272727, 0.1743442026663512, 0.8333333333333334, 1
13, 0.05, 0.11904672863520045, 0.6666666666666666, 0
13, 0.16666666666666666, 0.364380011930554, 0.5, 1
13, 0.0, 0.25898599366632236, 0.3333333333333333, 0
13, 0.0, 0.35498666425542863, 0.16666666666666666, 0
13, 0.0, 0.12006101200848783, 0.16666666666666666, 1
13, 0.0, 0.23686550639190193, 0.3333333333333333, 0
13, 0.0, 0.17644307572459178, 0.5, 0
13, 0.0, 0.15066937614798073, 0.6666666666666666, 0
13, 0.0, 0.23929539073181508, 0.8333333333333334, 0
13, 0.0, 0.8283022165960001, 1.0, 0
14, 0.16666666666666666, 0.13166517412262438, 1.0, 1
14, 0.1, 0.09608741574463317, 0.875, 0
14, 0.42857142857142855, 0.12402266727168645, 0.75, 1
14, 0.058823529411764705, 0.11484392195786865, 0.625, 0
14, 0.0, 1.3862943611198906, 0.5, 0
14, 0.0, 0.46209812037329684, 0.375, 0
14, 0.16666666666666666, 0.14057805948957838, 0.25, 1
14, 0.5, 0.3955113096350855, 0.125, 1
14, 0.4, 0.36403078705604597, 0.125, 1
